"Cola" (71.4286)
"Cracker","Cola" (57.1429)
"Cracker" (57.1429)
"Bread","Cracker" (28.5714)
"Bread","Cola","Cracker" (28.5714)
"Bread","Cola" (28.5714)
"Bread" (57.1429)
"Milk","Cola" (42.8571)
"Milk","Cracker","Cola" (42.8571)
"Milk","Cracker" (42.8571)
"Milk","Bread","Cola" (14.2857)
"Milk","Bread","Cracker","Cola" (14.2857)
"Milk","Bread","Cracker" (14.2857)
"Milk","Bread" (28.5714)
"Milk" (57.1429)
"IceCream","Cola","Bread" (28.5714)
"IceCream","Cola" (28.5714)
"IceCream","Cracker","Bread","Cola" (28.5714)
"IceCream","Cracker","Bread" (28.5714)
"IceCream","Cracker","Cola" (28.5714)
"IceCream","Cracker" (28.5714)
"IceCream","Milk","Bread","Cola","Cracker" (14.2857)
"IceCream","Milk","Bread","Cola" (14.2857)
"IceCream","Milk","Bread","Cracker" (14.2857)
"IceCream","Milk","Bread" (14.2857)
"IceCream","Milk","Cola","Cracker" (14.2857)
"IceCream","Milk","Cola" (14.2857)
"IceCream","Milk","Cracker" (14.2857)
"IceCream","Milk" (14.2857)
"IceCream","Bread" (42.8571)
"IceCream" (42.8571)
